F001	Fraksi Partai Demokrat di MPR menggelar sarasehan dengan tema GBHN.	Fraksi Partai DEmokrat di EM-PE-ER menggelar sarasEhan dengan tEma GE-BE-HA-EN.
F002	GBHN merupakan garis besar atau Sistem Perencanaan Pembangunan Nasional.	GE-BE-HA-EN merupakan garis besar atau Sistem Perencanaan Pembangunan Nasional.
F003	Hidayat Nur Wahid mengkhawatirkan jika MEA berlaku maka narkoba semakin mengancam	Hidayat Nur Wahid mengkhawatirkan jika MEA berlaku maka narkoba semakin mengancam
F004	Pada awal dua ribu enam belas, Masyarakat Ekonomi atau MEA ASEAN mulai berlaku.	Pada awal dua ribu enam belas, Masyarakat Ekonomi atau MEA ASEAN mulai berlaku.
F005	Simposium itu bertema Refleksi Nasional Praktik Konstitusi dan Ketatanegaraan Pasca Reformasi.	Simposium itu bertEma REflEksi Nasional Praktik Konstitusi dan Ketatanegaraan Pasca REformasi.
F006	Ketua MPR Zulkifli Hasan berpendapat bahwa ada capaian positif dalam perkembangan demokratisasi	Ketua EM-PE-ER Zulkifli Hasan berpendapat bahwa ada capaian positif dalam perkembangan dEmokratisasi
F007	Pimpinan MPR RI Tutup Secara Resmi Outbound empat Pilar MPR di Bengkulu.	Pimpinan EM-PE-ER ER-I tutup secara resmi aut-bound empat Pilar EM-PE-ER di Bengkulu.
F008	Kepala Kesbangpol Kabupaten Magelang Arya Humanita mengatakan kegiatan sosialisasi ini untuk menumbuhkan rasa nasionalisme.	Kepala Kesbangpol KabupatEn Magelang Arya Humanita mengatakan kegiatan sosialisasi ini untuk menumbuhkan rasa nasionalisme.
F009	Upacara bendera ditujukan untuk memupuk rasa nasionalisme di tengah menurunnya rasa kebangsaan.	Upacara bendEra ditujukan untuk memupuk rasa nasionalisme di tengah menurunnya rasa kebangsaan.
F010	Wakil Presiden Jusuf Kalla meminta pemangku kepentingan untuk mengevaluasi pembelian helikopter kepresidenan produk Agusta Westland.	Wakil PrEsidEn Yusuf Kalla meminta pemangku kepentingan untuk meng-Evaluasi pembelian hElikopter keprEsidEnan produk Agusta WEst-lend.
F011	Kalau negeri ini mau maju maka harus membangun pendidikan dan rumah sakit kata Ketua MPR DR. HC. Zulkifli Hasan.	Kalau negri ini mau maju maka harus membangun pendidikan dan rumah sakit kata Ketua EM-PE-ER DE-ER. HA-CE. Zulkifli Hasan.
F012	Peresmian Paviliun B RSU Siloam di Lippo Karawaci dilakukan minggu lalu.	Peresmian Paviliun BE ER-ES-U Siloam di Lippo Karawaci dilakukan minggu lalu.
F013	Wakil Ketua MPR Mahyudin melantik anggota pergantian antarwaktu atau PAW.	Wakil Ketua EM-PE-ER Mahyudin melantik anggota pergantian antarwaktu atau PE-A-WE.
F014	Mereka yang dilantik menjadi anggota baru MPR adalah Hetifah dari Fraksi Partai Golkar dari Dapil Kalimantan Timur dan Junaidi Auly.	MerEka yang dilantik menjadi anggota baru EM-PE-ER adalah HEtifah dari Fraksi Partai Golkar dari Dapil Kalimantan Timur dan Junaidi Auli.
F015	Popong berpendapat bahwa narkoba adalah bahaya laten.	Popong berpendapat bahwa narkoba adalah bahaya latEn.
F016	Revolusi mental dan revolusi iman, dua-duanya harus kita sokong ujar Ghazali Abbas.	REvolusi mEntal dan rEvolusi iman, dua-duanya harus kita sokong ujar Ghazali Abbas.
F017	Puluhan blogger yang dibagi dalam dua grup itu mempresentasikan bagaimana mereka mencari format yang sesuai.	Puluhan blogger yang dibagi dalam dua grup itu memprEsentasikan bagaimana MerEka mencari format yang sesuai.
F018	Mereka berada di kota budaya itu untuk mengikuti Netizen Gathering empat Pilar MPR.	MerEka berada di kota budaya itu untuk mengikuti NEtizEn GE-the-ring empat Pilar EM-PE-ER.
F019	Ketua Umum PKB Muhaimin Iskandar mengatakan acara ini merupakan acara yang strategis bagi bangsa dan negara.	Ketua Umum PE-KA-BE Muhaimin Iskandar mengatakan acara ini merupakan acara yang stratEgis bagi bangsa dan negara.
F020	Duta Besar Kuba untuk Indonesia, Nirsia Castro Guevara mengajak Indonesia mendukung pelucutan senjata nuklir.	Duta Besar Kuba untuk IndonEsia, Nir-sia Kastro GuEvara mengajak IndonEsia mendukung pelucutan senjata nuklir.
F021	Mahyudin mendukung dan mengapresiasi sikap tegas TNI AU.	Mahyudin mendukung dan mengaprEsiasi sikap tegas TE-EN-I AU.
F022	TNI AU menurunkan paksa pesawat tanpa izin yang melintas di atas wilayah nusantara.	TE-EN-I AU menurunkan paksa pesawat tanpa izin yang melintas di atas wilayah nusantara.
F023	Presiden RI meninjau pembangunan jalan tol KM tujuh puluh tujuh Trans Sumatera.	PrEsidEn ER-I meninjau pembangunan jalan tol KA-EM tujuh puluh tujuh Trans Sumatra.
F024	Silaturahmi nasional atau silatnas menurutnya sangat baik untuk membangun komunikasi antar sesama kader Golkar.	Silaturahmi nasional atau silatnas menurutnya sangat baik untuk membangun komunikasi antar sesama kader Golkar.
F025	Partai Keadilan Sejahtera atau PKS menggelar Mukernas empat di Bumi Wiyata, Depok, Jawa Barat.	Partai Keadilan Sejahtera atau PKS menggelar Mukernas empat di Bumi Wiyata, DEpok, Jawa Barat.
F026	Aburizal Bakrie mendorong Fraksi Partai Golkar di MPR agar melakukan amandemen sesuai dengan mukadimah.	Aburizal Bakri mendorong Fraksi Partai Golkar di EM-PE-ER agar melakukan amandemEn sesuai dengan mukadimah.
F027	Rambe Kamarulzaman mengatakan kegiatan sosialiasi ini merupakan kerja sama Fraksi Partai Golkar di MPR dengan sayap-sayap Partai Golkar.	RambE Kamarulzaman mengatakan kegiatan sosialiasi ini merupakan kerja sama Fraksi Partai Golkar di EM-PE-ER dengan sayap-sayap Partai Golkar.
F028	Menjelang Munas pada bulan Desember, Pengurus Pusat Ikatan Dai Indonesia atau Ikadi melakukan audiensi dengan Wakil Ketua MPR Hidayat Nur Wahid.	Menjelang Munas pada bulan DEsEmber, Pengurus Pusat Ikatan Dai Indonesia atau Ikadi melakukan audiEnsi dengan Wakil Ketua EM-PE-ER Hidayat Nur Wahid.
F029	Focus Group Discussion bertema Implementasi Pancasila dan UUD NRI Tahun sembilan belas empat lima Bidang Ketatanegaraan.	Fokus Grup Dis-kas-siyen bertEma ImplemEntasi Pancasila dan U-U-DE EN-ER-I Tahun sembilan belas empat lima Bidang Ketatanegaraan.
F030	Acara itu bertempat di Aula Nyi Endang Darma, Universitas Wiralodra, Indramayu, Jawa Barat.	Acara itu bertempat di Aula Nyi Endang Darma, UnivErsitas Wiralodra, Indramayu, Jawa Barat.
F031	Seharusnya dalam dunia olah raga menurut Zulkifli seluruh pihak terkait harus bertindak sportif.	Seharusnya dalam dunia olah raga menurut Zulkifli seluruh pihak terkait harus bertindak sportif.
F032	Forum Marga Adat Ketibung meresmikan Masjid Nurul Ullum, Umbul Niti, Lampung.	Forum Marga Adat Ketibung meresmikan Masjid Nurul Ullum, Umbul Niti, Lampung.
F033	Abdul Kadir Karding dengan mantap mengungkapkan perubahan yang paling mendasar adalah termuatnya Hak Asasi Manusia atau HAM.	Abdul Kadir Karding dengan mantap mengungkapkan perubahan yang paling mendasar adalah termuatnya Hak Asasi Manusia atau HAM.
F034	Anggota Badan Pengkajian MPR Shodiq Mujahid mengungkapkan MPR sedang mendorong pembentukan sebuah badan semacam BP7	Anggota Badan Pengkajian EM-PE-ER Shodiq Mujahid mengungkapkan EM-PE-ER sedang mendorong pembentukan sebuah badan semacam BE-PE tujuh
F035	Kita tidak melakukan indoktrinasi.	Kita tidak melakukan indoktrinasi.
F036	Pancasila bukan untuk kepentingan penguasa seperti pada masa Orde Baru.	Pancasila bukan untuk kepentingan penguasa seperti pada masa Orde Baru.
F037	Indonesia dan Tiongkok sepakat untuk tingkatkan kerjasama bilateral.	IndonEsia dan Tiongkok sepakat untuk tingkatkan kerjasama bilateral.
F038	Isu soal pemotongan anggaran pendidikan hanyalah hoax belaka.	Isu soal pemotongan anggaran pendidikan hanyalah hoaks belaka.
F039	Ratusan mahasiswa Universitas Sriwijaya Palembang atau Unsri mengenakan jaket kuning almamater mereka yang khas.	Ratusan mahasiswa UnivErsitas Sriwijaya PalEmbang atau Unsri mengenakan jakEt kuning almamater MerEka yang khas.
F040	Bambang Sadono miris dengan sistem ketatanegaraan Indonesia yang banyak sekali bersinggungan satu dengan yang lainnya.	Bambang Sadono miris dengan sistem ketatanegaraan IndonEsia yang banyak sekali bersinggungan satu dengan yang lainnya.
F041	Seminar di ternate membahas Multi Tafsir terhadap ketetapan MPR.	Seminar di ternatE membahas Multi Tafsir terhadap ketetapan EM-PE-ER.
F042	Maruf Cahyono merasakan hal yang luar biasa ketika pelajar SMA dua Kristen Binsus Tomohon Sulawesi Utara memainkan musik kulintang.	Maruf Cahyono merasakan hal yang luar biasa ketika pelajar ES-EM-A dua Kristen Binsus Tomohon Sulawesi Utara memainkan musik kulintang.
F043	Kehadiran Ketua MPR di kampus Universitas Muhammadiyah Malang atau UMM adalah untuk membuka acara Pengenalan Studi Mahasiswa Baru atau Pesmaba.	Kehadiran Ketua EM-PE-ER di kampus UnivErsitas Muhammadiyah Malang atau U-EM-EM adalah untuk membuka acara Pengenalan Studi Mahasiswa Baru atau Pesmaba.
F044	Junimart Girsang meminta media untuk berkontribusi lebih besar.	Junimart Girsang meminta mEdia untuk berkontribusi lebih besar.
F045	Zulkifli Hasan menghadiri undangan acara Taaruf Musyawarah Nasional MUI.	Zulkifli Hasan menghadiri undangan acara Taaruf Musyawarah Nasional EM-U-I.
F046	Tema acaranya adalah Islam Wasathiyah Untuk Indonesia dan Dunia Yang Berkeadilan dan Berkeadaban.	TEma acaranya adalah Islam Wasathiyah Untuk IndonEsia dan Dunia Yang Berkeadilan dan Berkeadaban.
F047	Majelis Ulama Indonesia menggelar acara di Ballroom Garden Palace Hotel Surabaya.	Majelis Ulama IndonEsia menggelar acara di Boll-rum Garden PE-lEs HotEl Surabaya.
F048	Alun Alun Karanganyar yang terhampar luas di depan kantor Kabupaten Karanganyar.	Alun Alun Karanganyar yang terhampar luas di depan kantor KabupatEn Karanganyar.
F049	Ki Warseno Slenk dalang kelahiran Klateng akan memainkan lakon Banjaran Setyaki.	Ki WarsEno SlEng dalang kelahiran Klateng akan memainkan lakon Banjaran Setyaki.
F050	UU Komisi Yudisial perlu direvisi.	UU Komisi Yudisial perlu dirEvisi.
F051	Misalnya untuk memenej secara tepat pembuangan air.	Misalnya untuk memEnEj secara tepat pembuangan air.
F052	Mobil Baleno hijau metalik adalah mobil Cina yang hebat.	Mobil BalEno hijau mEtalik adalah mobil Cina yang hEbat.
F053	Mochtar Buchori merespons hal itu.	Mochtar Buchori merEspons hal itu.
F054	Direktur Masalah-Masalah Philipina.	DirEktur masalah-masalah Filipina.
F055	Entah hidup sebagai rohaniwan atau awam.	Entah hidup sebagai rohaniwan atau awam.
F056	Ia menjawab Hai bapakku.	Ia menjawab Hai bapakku.
F057	Ia menusuk dan mengoyak-ngoyak.	Ia menusuk dan mengoyak-ngoyak.
F058	Juga dipicu oleh faktor-faktor lain jelas Zein.	Juga dipicu oleh faktor-faktor lain jelas ZEin.
F059	Kalau untuk bulan januari berapa?	Kalau untuk bulan januari berapa?
F060	Kantor terpadu untuk polisi air.	Kantor terpadu untuk polisi air.
F061	Hai orang-orang yang beriman.	Hai orang-orang yang beriman.
F062	Ketua Fraksi Partai Golkar DPRD DIY Khairuddin mengakui secara khusus tentang kacaunya PDIP.	Ketua Fraksi Partai Golkar DE-PE-ER-DE DE-I-YE Khairuddin mengakui secara khusus tentang kacaunya PE-DE-I-PE.
F063	Ketua Korps Pegawai RI menyoroti banyak hal khususnya polusi asap knalpot kendaraan bermotor.	Ketua Korps Pegawai ER-I menyoroti banyak hal khususnya polusi asap knalpot kendaraan bermotor.
F064	Koperasi Pegawai Logistik yang menjual jam weker.	Koperasi Pegawai Logistik yang menjual jam wEker.
F065	Kosong enam kosong tujuh dan Kosong empat kosong lima.	Kosong enam kosong tujuh dan Kosong empat kosong lima.
F066	Sutradara Gintings yang sempat berbicara mengenai wewenangnya di Hotel Sahid Jaya.	Sutradara Gintings yang sempat berbicara mengenai wewenangnya di HotEl Sahid Jaya.
F067	Di dalam draf awal disebutkan rancangan aturan dari sentralisme ke otonomi.	Di dalam draf awal disebutkan rancangan aturan dari sEntralisme ke otonomi.
F068	Dengan istigfar dulu dipegangnya colokan itu dan tersetrum.	Dengan istigfar dulu, dipegangnya colokan itu dan tersetrum.
F069	Di Pulau Okinawa, hanya ada sembilan puluh delapan anggota polisi.	Di Pulau Okinawa, hanya ada sembilan puluh delapan anggota polisi.
F070	Akan terjadi kekacauan kalau air sungai Kahayan meluap.	Akan terjadi kekacauan kalau air sungai Kahayan meluap.
F071	Di atas mobil golfnya, Dan Hughes melambaikan tangannya ke arah massa.	Di atas mobil golfnya, Dan Hu-ghes melambaikan tangannya ke arah massa.
F072	Kalau Anda pilih Hotel Spinghar kami setuju saja.	Kalau Anda pilih HotEl Spinghar kami setuju saja.
F073	Kalau Australia mau cuci tangan, kita bawa saja ke pengadilan internasional.	Kalau Australia mau cuci tangan, kita bawa saja ke pengadilan internasional.
F074	Kalau granat itu meledak, bisa celaka kita.	Kalau granat itu meledak, bisa celaka kita.
F075	Hal itu dikenal juga sebagai konsep dwifungsi.	Hal itu dikenal juga sebagai konsEp dwifungsi.
F076	Dalam perspektif pluralisme hal itu bukan konsep negara.	Dalam perspEktif pluralisme hal itu bukan konsEp negara.
F077	Dan itu adalah China Petroleum ujar Ikrar.	Dan itu adalah China PEtroleum ujar Ikrar.
F078	Disitanya satu pisau lipat dari koper kabin itu.	Disitanya satu pisau lipat dari koper kabin itu.
F079	Di aula desa sudah berkumpul Kodim dan Satpol PP Pemkab Jepara.	Di aula dEsa sudah berkumpul Kodim dan Satpol PP PEmkab Jepara.
F080	Kepala Subseksi Geofisika mengatakan gempa terjadi dalam tujuh skala richter.	Kepala SubsEksi GEofisika mengatakan gempa terjadi dalam tujuh skala richter.
F081	Peti jenazah Yesus.	Peti jenazah YEsus.
F082	Kalau rame-rame begini terasa atmosfer akrabnya.	Kalau ramE-ramE begini terasa atmosfEr akrabnya.
F083	Bambang Sudibyo untuk Menkeu.	Bambang Sudibyo untuk Men-keu.
F084	Mohon informasi tentang akte kelahiran.	Mohon informasi tentang akte kelahiran.
F085	Dan jelas wewenang dari pelaksananya serta sah panggilannya.	Dan jelas wewenang dari pelaksananya serta sah panggilannya.
F086	Di antaranya, zone ekonomi.	Di antaranya, zone Ekonomi.
F087	Inspektur Jenderal Sufyan Yakub hanya punya tujuh puluh enam anggota pleton.	InspEktur JEnderal Sufyan Yakub hanya punya tujuh puluh enam anggota ple-ton.
F088	Kalau hendak diekspor lagi perlu standarisasi ukuran dan berat.	Kalau hendak diEkspor lagi perlu standarisasi ukuran dan berat.
F089	Kita tidak memakai wewangian ujar Elza.	Kita tidak memakai wewangian ujar Elza.
F090	Kalau MPR tidak mau mengesahkan efek psikologisnya lumayan juga ujarnya.	Kalau EM-PE-ER tidak mau mengesahkan EfEk psikologisnya lumayan juga ujarnya.
F091	Mohon informasi tentang persyaratan HGB, IMB, KK, KTP, NPWP, PBB dan SHM.	Mohon informasi tentang persyaratan HA-GE-BE, I-EM-BE, KA-KA, KA-TE-PE, EN-PE-WE-PE, PE-BE-BE dan ES-HA-EM.
F092	Cinta Jangan Kau Pergi.	Cinta Jangan Kau Pergi.
F093	Bangau berkata saya masih pusing.	Bangau berkata saya masih pusing.
F094	Akibat kebiasaannya merokok sejak remaja, ia menderita penyakit paru obstruktif kronik.	Akibat kebiasaannya merokok sejak remaja, ia menderita penyakit paru ob-struk-tif kronik.
F095	Ini bukan perang etnis apalagi perang agama, hanya perang kepentingan saja.	Ini bukan perang Etnis apalagi perang agama, hanya perang kepentingan saja.
F096	Bahwa film itu kurang detail seperti bukunya terjadi karena keterbatasan waktu.	Bahwa film itu kurang detail seperti bukunya terjadi karena keterbatasan waktu.
F097	Begitu bel ronde awal dibunyikan, penonton bersorak riuh.	Begitu bEl ronde awal dibunyikan, penonton bersorak riuh.
F098	Beda antara dokumen milik Kwik dan Putu terletak pada formatnya.	BEda antara dokumEn milik Kwik dan Putu terletak pada formatnya.
F099	Ia tidak datang akibat hujan, belum lagi badai juga cukup kencang.	Ia tidak datang akibat hujan, belum lagi badai juga cukup kencang.
F100	Ini dia lakukan dalam upaya membuktikan klaimnya.	Ini dia lakukan dalam upaya membuktikan klaimnya.
F101	Dalam rangka tutup buku tahun dua ribu lima semua laporan harus sudah masuk hari ini.	Dalam rangka tutup buku tahun dua ribu lima semua laporan harus sudah masuk hari ini.
F102	Mohon penjelasan tentang Pin partisipan.	Mohon penjelasan tentang Pin partisipan.
F103	Motor ekonomi digeser ke swasta.	Motor Ekonomi digEsEr ke swasta.
F104	Mozaik dan lainnya tidak semata-mata ditentukan oleh sosok Syahril.	Mo-za-ik dan lainnya tidak semata-mata ditentukan olEh sosok Syah-ril.
F105	Muchsin mengatakan harga ini akan ditinjau setiap bulan.	Muh-sin mengatakan harga ini akan ditinjau setiap bulan.
F106	Mudah-mudahan masalah ini tidak masuk ke ILO.	Mudah-mudahan masalah ini tidak masuk ke I-EL-O.
F107	Mufti Fajar muntah dan mencret.	Muf-ti Fa-jar muntah dan mEncrEt.
F108	Mugabe dapat saja mengklaim kemenangan dalam pemilihan presiden di Zimbabwe.	Mu-ga-bE dapat saja mengklaim kemenangan dalam pemilihan prEsidEn di Zim-bab-wE.
F109	Muhaimin Iskandar seusai bertemu Presiden Abdurrahman Wahid di Istana Merdeka.	Mu-hai-min Iskandar seusai bertemu prEsidEn Ab-dur-rah-man Wahid di Istana MerdEka.
F110	Muhammad Jam dan Muhammad Khirom mulai ada kekhawatiran terhadap Mujab Fahmi.	Muhammad Jam dan Muhammad Khi-rom mulai ada kekhawatiran terhadap Mujab Fahmi.
F111	Muhammad Nurlif diadili sesuai fakta hukum.	Muhammad Nur-lif diadili sesuai fakta hukum.
F112	Muhammad Taufiq Abda dapat dipercaya sesuai namanya.	Muhammad Tau-fiq Ab-da dapat dipercaya sesuai namanya.
F113	Muhammad Yus bekerja sesuai dokumen tender.	Muhammad Yus bekerja sesuai dokumEn tEnder.
F114	Mulai dari perbatasan Kanada sampai Florida.	Mulai dari perbatasan Kanada sampai Florida.
F115	Mulai Jumat sepupu Eric akan menginap.	Mulai Jumat sepupu Erik akan menginap.
F116	Mulai Rabu sepuluh anggota akan datang.	Mulai Rabu sepuluh anggota akan datang.
F117	Mulai Senin pagi, urusan administrasi sesuai kontrak.	Mulai Senin pagi, urusan administrasi sesuai kontrak.
F118	Mungkin ada oknum Bea Cukai yang terlibat.	Mungkin ada oknum BEa Cukai yang terlibat.
F119	Mungkin Danyon mulai melenceng.	Mungkin Danyon mulai melEncEng.
F120	Mungkin saja, proses mandeg sampai di DPR.	Mungkin saja, prosEs mandeg sampai di DE-PE-ER.
F121	Mungkin sedikit syukuran.	Mungkin sedikit syukuran.
F122	Mungkin tarif tolnya turun.	Mungkin tarif tolnya turun.
F123	Mungkinkah kelar minggu ini?	Mungkinkah kelar minggu ini?
F124	Mungkinkah rampung minggu ini?	Mungkinkah rampung minggu ini?
F125	Mungkinkah selesai minggu ini?	Mungkinkah selesai minggu ini?
F126	Murid Madrasah Tsanawiyah tewas.	Murid Madrasah Tsanawiyah tEwas.
F127	Musibah Gunung Slamet jenazah Iis ditemukan.	Musibah Gunung Slamet, jenazah Iis ditemukan.
F128	Najib Nawir, Mursyid Amal, dan Mullah Fazil mengikuti Musyawarah Nasional Teknik.	Na-jib Na-wir, Mur-syid Amal, dan Mul-lah Fa-zil mengikuti Musyawarah Na-si-o-nal tEknik.
F129	Nama anda siapa?	Nama anda siapa?
F130	Nama bayi itu Mustofa Ali.	Nama bayi itu Mus-to-fa Ali.
F131	Nama beken yang tercantum dalam keterangan Sekneg tadi.	Nama bekEn yang tercantum dalam keterangan SEk-nEg tadi.
F132	Nama kamu siapa?	Nama kamu siapa?
F133	Namamu siapa pelayan Owen yang baik?	Namamu siapa, pelayan Owen yang baik?
F134	Namun detailnya untuk jangka pendek FPDIP untung.	Namun de-ta-ilnya untuk jangka pEndEk EF-PE-DE-I-PE untung.
F135	Namun di lapangan Bintang Kejora dipakai sebagai wujud negara, ujarnya.	Namun di lapangan Bintang Kejora dipakai sebagai wujud negara, ujarnya.
F136	Namun dia enggan menjelaskan siapa yang membuat konsep fatwa tersebut.	Namun dia enggan menjelaskan siapa yang membuat konsEp fatwa tersebut.
F137	Namun Fariz sudah lama tidak bertemu Taufik, karena kesibukan masing-masing.	Namun Fariz sudah lama tidak bertemu Taufik, karena kesibukan masing-masing.
F138	Namun isu ini dibantah Mayjen Nurfaizi karna membutuhkan survei lebih lanjut.	Namun isu ini dibantah MayjEn Nurfaizi karna membutuhkan survEi lebih lanjut.
F139	Namun kali ini disela-sela suara setuju itu terdengar teriakan-teriakan, Hei.	Namun kali ini disela-sela suara setuju itu terdengar teriakan-teriakan, HEi!
F140	Namun konvoi itu diarahkan aparat ke Gedung Negara Grahadi.	Namun konvoi itu diarahkan aparat ke Gedung Negara Gra-ha-di.
F141	Namun Majelis Hakim tetap memerintahkan agar saksi Entoy tetap dipanggil.	Namun Majelis Hakim tetap memerintahkan agar saksi entoy tetap dipanggil.
F142	Namun mekanisme untuk mengontrolnya tidak ada lagi.	Namun mEkanisme untuk mengontrolnya tidak ada lagi.
F143	Namun Owen sempat berkelit karena senewen dan takut cucunya terluka.	Namun Owen sempat berkelit karena senEwen dan takut cucunya terluka.
F144	Namun pabrik minyak gorengnya hanya memiliki dua lampu warna merah dan hijau.	Namun pabrik minyak gorEngnya hanya memiliki dua lampu warna mErah dan hijau.
F145	Namun panggung terbuka di tepi danau tetap menunjukkan roh Wianta.	Namun panggung terbuka di tepi danau tetap menunjukkan roh Wi-yan-ta.
