H001	Sebab krisis politik dianggap sudah selesai.	Sebab krisis politik dianggap sudah selesai.
H002	Sebab menurut Roy tidak ada nama Sihaloho di situ.	Sebab menurut Roy tidak ada nama Si-ha-lo-ho di situ.
H003	Sebab mulai awal Januari tutup selama satu setengah jam.	Sebab mulai awal Januari tutup selama satu setengah jam.
H004	Sebab Suharto Zakaria belum menyatakan boikot saja.	Sebab Suharto Zakaria belum menyatakan boy-kot saja.
H005	Sebab Zakir terlihat pada malam yang sama.	Sebab Zakir terlihat pada malam yang sama.
H006	Sebab, Sebelas ribu langkah-langkah yang konfrontatif cenderung tidak berjalan baik.	Sebab, Sebelas ribu langkah-langkah yang konfrontatif cenderung tidak berjalan baik.
H007	Sebabnya, balita masih berada dalam fase oral.	Sebabnya, balita masih berada dalam fase oral.
H008	Sebagai alat bayar, ini ancaman utama bagi ekonomi AS ujar Sekretaris Pers Gedung Putih.	Sebagai alat bayar, ini ancaman utama bagi Ekonomi A-ES ujar SEkretaris PErs Gedung Putih.
H009	Sebagai kelanjutan dari pailitnya Dharmala ini.	Sebagai kelanjutan dari pai-lit-nya Dharmala ini.
H010	Sebagai salah satu wujud komitmen itu orang Minang temui Syahril Rabu pagi.	Sebagai salah satu wujud komitmen itu, orang Minang temui Syah-ril Rabu pagi.
H011	Sebagai Yesus Kristus yang terkapar di aspal.	Sebagai YEsus Kristus yang terkapar di aspal.
H012	Sebagian mengendarai sepeda motor dengan raungan knalpot.	Sebagian mengendarai sepEda motor dengan raungan knalpot.
H013	Sebagian petani cengkeh yang frustrasi terpaksa menebang pohon cengkehnya.	Sebagian petani cengkEh yang frustrasi terpaksa menebang pohon cengkEhnya.
H014	Sebaliknya RRC meraih kinerja ekonomi amat cemerlang.	Sebaliknya ER-ER-CE meraih kinerja Ekonomi amat cemerlang.
H015	Sebaliknya, Korsel tetap ngotot untuk mengejar.	Sebaliknya, KorsEl tetap ngotot untuk mengejar.
H016	Sebelas siang tepat ada ogoh-ogoh.	Sebelas siang tepat ada ogoh-ogoh.
H017	Sebelum fajar menyingsing di samping Hotel Amboina Sang Eyang Putri menunggu.	Sebelum fajar menyingsing, di samping HotEl Amboina Sang Eyang Putri menunggu.
H018	Sebelum grup-grup seni dan aktor-aktor cerdas bisa tumbuh.	Sebelum grup-grup seni dan aktor-aktor cerdas bisa tumbuh.
H019	Sebelum periode Cacuk makin krisis.Yozi yakin dengan wewenang Menkeu.	Sebelum pEriode Cacuk makin krisis, Yozi yakin dengan WEwEnang MEnkeu.
H020	Sebelumnya harus dikonfirmasikan ke bulog dulu.	Sebelumnya harus dikonfirmasikan ke bulog dulu.
H021	Sebelumnya Tempo juga berkali-kali gagal menghubungi telpon genggam Fariz tersebut.	Sebelumnya, TEmpo juga berkali-kali gagal menghubungi telpon genggam Fariz tersebut.
H022	Sebenarnya rem-rem itu sudah diberi pengaman, tetapi mau gimana lagi.	Sebenarnya REm-REm itu sudah diberi pengaman, tetapi mau gimana lagi.
H023	Sebenarnya Tommy ingin turun tangan sendiri menghabisi Syafiuddin.	Sebenarnya Tommy ingin turun tangan sendiri menghabisi Sya-fi-yud-din.
H024	Sebuah boks reklame juga pecah pukul sebelas pas malam.	Sebuah boks rEklame juga pecah pukul sebelas pas malam.
H025	Sebuah bom meledak di atas rel Jembatan Serpong Cisauk pukul satu lewat sepuluh menit.	Sebuah bom meledak di atas rEl Jembatan Serpong Cisauk pukul satu lEwat sepuluh menit.
H026	Sebuah e-mail dari teman di Filipina mencoba menasihati.	Sebuah I-mail dari teman di Filipina mencoba menasihati.
H027	Sebuah pesta poco-poco yang semula dirancang untuk menyambut kemenangan PSM.	Sebuah pesta poco-poco yang semula dirancang untuk menyambut kemenangan PE-ES-EM.
H028	Sebutlah dialog nasional membahas tentang respons negatif fraksi-fraksi.	Sebutlah dialog nasional membahas tentang rEspons nEgatif fraksi-fraksi.
H029	Secara jantan Gade mengakui kekagumannya atas penampilan Hendrawan.	Secara jantan Gade mengakui kekagumannya atas penampilan HEndrawan.
H030	Sedang PKB unggul di sebelas kabupaten.	Sedang PE-KA-BE unggul di sebelas KabupatEn.
H031	Sedangkan bertindak sebagai Khotib, Cendekiawan Muslim Nurcholis Madjid.	Sedangkan bertindak sebagai Khotib, Cendikiawan Muslim Nurkholis Madjid.
H032	Sedangkan komandan upacara adalah Kepala Garnizun Jakarta.	Sedangkan komandan upacara adalah Kepala Garnizun Jakarta.
H033	Sedangkan mereka yang tidak setuju atau abstain dipersilahkan tetap duduk.	Sedangkan mereka yang tidak setuju atau abstEin dipersilahkan tetap duduk.
H034	Sedangkan sebagai psikotropika diakuinya ada, tapi jumlahnya sangat kecil.	Sedangkan sebagai psikotropika diakuinya ada, tapi jumlahnya sangat kecil.
H035	Sedangkan sisanya disuplai bagi kebutuhan masyarakat.	Sedangkan sisanya disuplai bagi kebutuhan masyarakat.
H036	Sedangkan untuk menyewa tempat di lantai dasar Plaza Ciledug Baru.	Sedangkan untuk menyEwa tempat di lantai dasar Plaza Ciledug Baru.
H037	Sedikit lagi dia akan boikot acara ini.	Sedikit lagi dia akan boy-kot acara ini.
H038	Sehari sebelumnya indeks merosot cukup tajam.	Sehari sebelumnya indEks merosot cukup tajam.
H039	Sehingga hanya Aberson Sihaloho yang berani membelot.	Sehingga hanya A-ber-son Si-ha-lo-ho yang berani membElot.
H040	Sehingga posisi mereka bisa berubah-ubah, sesuai omzet.	Sehingga posisi mereka bisa berubah-ubah, sesuai omzet.
H041	Sehingga sering menjadi arena konvoi bagi kawula muda setempat.	Sehingga sering menjadi arEna konvoi bagi kawula muda setempat.
H042	Sehingga tidak terjadi yang satu mengklaim yang lain.	Sehingga tidak terjadi yang satu mengklaim yang lain.
H043	Sehubungan dengan usainya kunjungan kerja khusus pimpinan DPR ke Wamena.	Sehubungan dengan usainya kunjungan kerja khusus pimpinan DE-PE-ER ke WamEna.
H044	Sehubungan kasus penyerobotan tanah kawasan wisata eksklusif Nusa Dua.	Sehubungan kasus penyerobotan tanah kawasan wisata Eksklusif, Nusa Dua.
H045	Sejak itulah, Alien secara berkala memberikan bayi-bayi untuk diasuh.	Sejak itulah, AliEn secara berkala memberikan bayi-bayi untuk diasuh.
H046	Sejumlah koboi Dewan Perwakilan Rakyat berkumpul di Sanur.	Sejumlah koboi DEwan Perwakilan Rakyat berkumpul di Sanur.
H047	Sekali ketangkep polisi Temmy enggak ada.	Sekali ketangkep polisi TEmmy enggak ada.
H048	Sekali pakai ia menghabiskan empat paket putaw.	Sekali pakai, ia menghabiskan empat pakEt putaw.
H049	Sekarang ini menghadapi gejala status quo dan stagnasi.	Sekarang ini menghadapi gejala status quo dan stagnasi.
H050	Sekitar tiga juta pegawai ada di daerah, ujar Zuheir optimis.	Sekitar tiga juta pegawai ada di daErah, ujar ZuhEir optimis.
H051	Sekjen Depnakertrans Joko Sidik Pramono hadir.	SEkjEn DEpnakErtrans Joko Sidik Pramono hadir.
H052	Sekretaris Eksekutif YLKI pulang jam sembilan malam.	SEkretaris Eksekutif YE-EL-KA-I pulang jam sembilan malam.
H053	Sekretaris Jenderal Dephubtel Umar Rusdi datang pukul sembilan lewat sepuluh menit.	SEkretaris JEnderal DEphubtEl Umar Rusdi datang pukul sembilan lEwat sepuluh menit.
H054	Selain bajaj, motor itu menghantam bus sehingga penyok.	Selain bajay, motor itu menghantam bus sehingga pEnyok.
H055	Selain itu ia merasa usianya sudah cukup uzur untuk menjabat.	Selain itu ia merasa usianya sudah cukup uzur untuk menjabat.
H056	Selain itu Wilfred juga mengaku dirinya pemilik Grup Gemala.	Selain itu Wil-fred juga mengaku dirinya pemilik Grup Gemala.
H057	Selain itu, bahan tersebut juga dapat digunakan untuk mencuci emas.	Selain itu, bahan tersebut juga dapat digunakan untuk mencuci emas.
H058	Selain itu, sebuah jembatan di Wonorejo putus.	Selain itu, sebuah jembatan di Wonorejo putus.
H059	Selain Kusnanto Anggoro dan Mayjen Sudrajat ungkap Zulvan.	Selain Kusnanto Anggoro dan mayjEn Sudrajat, ungkap Zulvan.
H060	Selain Mbah Maridjan, Eurico, dan Faiz, juga ada Ikhlas.	Selain Mbah Maridjan, Eurico, dan Faiz, juga ada Ikhlas.
H061	Selain memiliki nilai lebih, kata dia, dialog cenderung lebih efektif.	Selain memiliki nilai lebih, kata dia, dialog cenderung lebih EfEktif.
H062	Selain mencemarkan korps juga merugikan diri sendiri.	Selain mencemarkan korps juga merugikan diri sendiri.
H063	Selain mukjizat, tiga syarat itu harus dipenuhi.	Selain mukjizat, tiga syarat itu harus dipenuhi.
H064	Selain untuk pembiayaan penyelesaian aktiva eks bank dan stop kliring.	Selain untuk pembiayaan penyelesaian aktiva Eks bank dan stop kliring.
H065	Selaku Gubernur DIY, mengherankan jika ia tidak dikawal khusus.	Selaku Gubernur DE-I-YE, mengherankan jika ia tidak dikawal khusus.
H066	Selama ini, kelompok-kelompok pro demokrasi belum memiliki kesamaan platform gerakan.	Selama ini, kelompok-kelompok pro dEmokrasi belum memiliki kesamaan platform gerakan.
H067	Selama status quo untuk Soeharto masih tetap ada.	Selama status quo untuk Suharto masih tetap ada.
H068	Selamat malam, untuk hari ini pukul sembilan nol nol WIB.	Selamat malam, untuk hari ini pukul sembilan nol nol WIB.
H069	Selamat pagi, saat ini pukul tujuh kurang lima puluh lima menit.	Selamat pagi, saat ini pukul tujuh kurang lima puluh lima menit.
H070	Selamat siang, ada yang bisa dibantu?	Selamat siang, ada yang bisa dibantu?
H071	SHM saya bisa selesai berapa lama lagi?	ES-HA-EM saya bisa selesai berapa lama lagi?
H072	Selamat sore, selesainya kapan?	Selamat sorE, selesainya kapan?
H073	Selanjutnya, Cencen membuka amplop coklat tersebut sembari menelepon.	Selanjutnya, CEncEn membuka amplop coklat tersebut sembari menelepon.
H074	Selepas wukuf Selasa malam, semua ada selain Novry.	Selepas wukuf Selasa malam, semua ada selain Novry.
H075	Selesai mandi itulah saya diajak oleh Acung ngerjain taksi pukul satu tepat.	Selesai mandi itulah saya diajak olEh Acung ngerjain taksi pukul satu tepat.
H076	Selezat apa pun masakan hotel pilihanku masakan kapau yang dibungkus.	Selezat apa pun masakan HotEl pilihanku masakan kapau yang dibungkus.
H077	Sembilan enam sembilan tujuh sembilan delapan sembilan sembilan.	Sembilan enam sembilan tujuh sembilan delapan sembilan sembilan.
H078	Sembilan kosong sembilan satu sembilan dua sembilan tiga sembilan empat sembilan lima.	Sembilan kosong sembilan satu sembilan dua sembilan tiga sembilan empat sembilan lima.
H079	Sembilan orang Wartawan Mingguan Alkhairaat butuh Penyejuk ruangan.	Sembilan orang Wartawan Mingguan Alkhairaat butuh Penyejuk ruangan.
H080	Sembilan ratus delapan untuk insentif non-fiskal.	Sembilan ratus delapan untuk insentif non-fiskal.
H081	Semen Andalas hentikan produksi.	Semen Andalas hentikan produksi.
H082	Semen Padang sebagai harta pusaka Minangkabau jangan dijual.	Semen Padang sebagai harta pusaka Minangkabau jangan dijual.
H083	Sementara di sudut ruang terlihat tiga topi koboi warna hitam.	Sementara di sudut ruang terlihat tiga topi koboi warna hitam.
H084	Sementara itu dari lima nol Tashkent.	Sementara itu dari lima nol Tashkent.
H085	Sementara kalau Tyasno yang naik menu order yang lebih wah lagi.	Sementara kalau Tyasno yang naik menu order yang lebih wah lagi.
H086	Sementara Mario Vieira bertemu Eurico.	Sementara Mario Vieira bertemu Eurico.
H087	Sementara nasib pilotnya tak diketahui.	Sementara nasib pilotnya tak diketahui.
H088	Sementara Portugal dan Denmark mencukur gundul dua tamunya.	Sementara Portugal dan DEnmark mencukur gundul dua tamunya.
H089	Sementara saham Zebra digunakan sesuai rencana dan prosedur.	Sementara saham Zebra digunakan sesuai rencana dan prosedur.
H090	Sementara truk yang dikemudikan Bejo Wuryanto terguling dan muatannya berantakan.	Sementara truk yang dikemudikan Bejo Wuryanto terguling dan muatannya berantakan.
H091	Sementara Wayn kerap kehilangan ritme permainan.	Sementara Wayn kerap kehilangan ritme permainan.
H092	Seminggu sebelum pelaksanaan conference semua fraksi setuju Syamsuddin dicopot.	Seminggu sebelum pelaksanaan konferens semua fraksi setuju Syam-sud-din dicopot.
H093	Senjata tradisional yakni golok dan mandau.	Senjata tradisional yakni golok dan mandau.
H094	Semua kereta di belakang lokomotif remnya tidak berfungsi.	Semua kerEta di belakang lokomotif rEmnya tidak berfungsi.
H095	Senin jam tiga siang, sembilan ribu delapan ratus peserta hadir.	Senin jam tiga siang, sembilan ribu delapan ratus peserta hadir.
H096	Senin malam, jam sembilan lebih sepuluh menit sembilan puluh delapan anggota berkumpul.	Senin malam, jam sembilan lebih sepuluh menit sembilan puluh delapan anggota berkumpul.
H097	Senior Superintenden Ridwan Karim di Banda Aceh.	SEnior SuperintendEn Ridwan Karim di Banda AcEh.
H098	Senior Superintenden Zainal Abidin datang pukul sembilan kurang sepuluh menit.	SEnior SuperintendEn Zainal Abidin datang pukul sembilan kurang sepuluh menit.
H099	Senjata tradisional yakni golok dan mandau.	Senjata tradisional yakni golok dan mandau.
H100	Seorang lelaki bersepeda motor melempar granat ke Polsek Syamtalira Bayu.	Seorang lelaki bersepEda motor melEmpar granat ke PolsEk Syam-ta-li-ra Bayu.
H101	Sepak takraw diikuti sepuluh peserta Senin sore.	SEpak takraw diikuti sepuluh peserta Senin sorE.
H102	Sepanjang ogoh-ogoh tersebut tidak mencerminkan pornografi atau kampanye partai politik.	Sepanjang ogoh-ogoh tersebut tidak mencerminkan pornografi atau kampanyE partai politik.
H103	Seperti clurit, mandau dan tombak milik mahasiswa indekost.	Seperti clurit, mandau dan tombak milik mahasiswa indekost.
H104	Seperti dikutip Koran Tempo edisi hari ini.	Seperti dikutip Koran tEmpo edisi hari ini.
H105	Seperti Gereja Bethany dan Gereja Alfa Omega.	Seperti GerEja BEthany dan GerEja Alfa OmEga.
H106	Seperti Glodok masih ramai pukul sepuluh malam.	Seperti Glodok masih ramai pukul sepuluh malam.
H107	Sesi konference itu apa artinya?	Sesi konference itu apa artinya?
H108	Serangan itu disebut Rumsfeld sebagai upaya sangat sukses.	Serangan itu disebut Rums-feld sebagai upaya sangat suksEs.
H109	Seratus satu Laskar Jihad nekad datang dari Jawa sambil membawa misi sosial.	Seratus satu Laskar Jihad nEkad datang dari Jawa sambil membawa misi sosial.
H110	Serta cukup jauh menuju Pasar Celancang.	Serta cukup jauh menuju Pasar Celancang.
H111	Setelah bertukar kaus dengan Beckham ketika klubnya bertanding.	Setelah bertukar kaus dengan Beckham ketika klubnya bertanding.
H112	Seruan Brunei sementara itu, serta mengefektifkan dialog dengan GAM.	Seruan BrunEi sementara itu, serta meng-E-fEktifkan dialog dengan GAM.
H113	Sesi conference itu apa artinya?	SEsi konferens itu apa artinya?
H114	Sesuai catatan yang diberikan saksi-saksi tersebut.	Sesuai catatan yang diberikan saksi-saksi tersebut.
H115	Sesuai enggak dengan perjanjian semula, ujarnya.	Sesuai enggak dengan perjanjian semula, ujarnya.
H116	Sesuai jadwal sembilan tepat akan tiba empat kloter jemaah haji.	Sesuai jadwal, sembilan tepat akan tiba empat kloter jemaah haji.
H117	Setelah bertukar kaus dengan Beckham ketika klubnya bertanding.	Setelah bertukar kaus dengan BEkham ketika klubnya bertanding.
H118	Setelah cekcok dengan Sineas Garin Nugroho, Sintuwu maroso siangnya langsung ngojek.	Setelah cEkcok dengan Si-nE-as Ga-rin Nug-ro-ho, Sin-tu-wu ma-ro-so siangnya langsung ngojEk.
H119	Setelah Davids keluar dan Juventus bermain dengan sepuluh orang.	Setelah Davids keluar dan JuvEntus bermain dengan sepuluh orang.
H120	Setelah diadakan survei lapangan pukul setengah delapan.	Setelah diadakan survEi lapangan pukul setengah delapan.
H121	Setelah menggelar dialog singkat hingga pukul setengah dua belas.	Setelah menggelar dialog singkat hingga pukul setengah dua belas.
H122	Setelah Presiden Komite Olimpiade Internasional mengumumkan Beijing sebagai pemenang.	Setelah prEsidEn KomitE OlimpiadE Internasional mengumumkan BEijing sebagai pemenang.
H123	Setelah wukuf seusai evakuasi pukul setengah enam.	Setelah wukuf seusai Evakuasi pukul setengah enam.
H124	Setengah satu hingga setengah tiga ada siaran pers majalah Info Bank.	Setengah satu hingga setengah tiga ada siaran PErs majalah Info Bank.
H125	Setiap blok diberi daftar hadir sholat.	Setiap blok diberi daftar hadir sholat.
H126	Setiap calon wapres punya kans yang sama, Roy hanya menjawab.	Setiap calon WaprEs punya kans yang sama, Roy hanya menjawab.
H127	Setiap kampanye harus dibatasi untuk menumbangkan Saddam.	Setiap kampanyE harus dibatasi untuk menumbangkan Sad-dam.
H128	Setiap pengkhianat kesepakatan damai harus dijadikan musuh bersama.	Setiap pengkhianat kesepakatan damai harus dijadikan musuh bersama.
H129	Setiap PRJ usai siang sekitar jam dua belas atau satu pas.	Setiap PE-ER-JE, usai siang sekitar jam dua belas atau satu pas.
H130	Setiap tahun pasti ke Wonosari dan Sidoarjo.	Setiap tahun pasti ke Wonosari dan Sidoarjo.
H131	Setiap WNI melaksanakan sholat berjamaah dan berdzikir sampai jam setengah dua.	Setiap WE-EN-I melaksanakan sholat ber-ja-ma-ah dan ber-zikir sampai jam setengah dua.
H132	Setibanya di Sungai Jordan pukul setengah empat.	Setibanya di Sungai Jordan pukul setengah empat.
H133	Setneg dinilai Presiden Wahid sebagai negara di dalam negara.	SEtnEg dinilai prEsidEn Wahid sebagai negara di dalam negara.
H134	SHM saya selesainya kapan?	ES-HA-EM saya selesainya kapan?
H135	Seusai berziarah pukul setengah lima hingga setengah tujuh.	Seusai berziarah pukul setengah lima hingga setengah tujuh.
H136	Seusai ziarah di Mojokerto, siang jam dua belas, Si Firaun Kecil hilang.	Seusai ziarah di Mojokerto, siang jam dua belas, Si Firaun Kecil hilang.
H137	Sewaktu saya mau masuk conference setengah sepuluh, nomor pinnya tidak dikenali.	Sewaktu saya mau masuk konferens setengah sepuluh, nomor pinnya tidak dikenali.
H138	Sheikh Ahmed Yassin siap jihad sesuai janjinya.	ShEikh Ahmed Yassin siap jihad sesuai janjinya.
H139	SHM saya bisa selesai berapa hari lagi?	ES-HA-EM saya bisa selesai berapa hari lagi?
H140	SHM saya selesainya kapan?	ES-HA-EM saya selesainya kapan?
H141	Senior Superintenden Zainal Abidin datang pukul sembilan kurang sepuluh menit.	SEnior SuperintendEn Zainal Abidin datang pukul sembilan kurang sepuluh menit.
H142	Siap nggak siap kita harus siap.	Siap nggak siap kita harus siap.
H143	Siapa nama kamu?	Siapa nama kamu?
H144	Siapa namamu?	Siapa namamu?
H145	Siapa yang ngawal-ngawal?	Siapa yang ngawal-ngawal?
H146	Siapa yang rugi kalau ayamnya mati.	Siapa yang rugi kalau ayamnya mati.
H147	Siapakah nama anda?	Siapakah nama anda?
H148	Siaran Radio Australia yang semula bisa diterima tiba-tiba menghilang.	Siaran Radio Aus-tra-li-a yang semula bisa diterima tiba-tiba menghilang.
